City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
153,Saskylakh,RU,2021-05-25 20:56:08,71.9167,114.0833,45.12,61,100,4.23,overcast clouds
154,Laredo,US,2021-05-25 20:56:08,27.5064,-99.5075,98.6,35,1,15.05,clear sky
155,Kodiak,US,2021-05-25 20:53:18,57.79,-152.4072,53.24,58,0,4.88,clear sky
156,Eregli,TR,2021-05-25 20:56:09,37.5133,34.0467,63.68,34,0,3.78,clear sky
157,Salalah,OM,2021-05-25 20:56:09,17.0151,54.0924,79.95,79,30,8.19,scattered clouds
158,Bilma,NE,2021-05-25 20:55:31,18.6853,12.9164,89.28,7,0,8.57,clear sky
159,Tekirdag,TR,2021-05-25 20:56:09,40.978,27.5085,58.35,76,47,6.67,light rain
160,Lima,PE,2021-05-25 20:52:53,-12.0432,-77.0282,66.45,94,75,1.99,broken clouds
161,Port-Cartier,CA,2021-05-25 20:56:10,50.0334,-66.8654,53.82,92,100,2.28,overcast clouds
162,Wenling,CN,2021-05-25 20:56:10,28.3669,121.36,67.14,82,88,5.48,overcast clouds
163,Tasiilaq,GL,2021-05-25 20:56:10,65.6145,-37.6368,35.98,90,100,49.37,moderate rain
164,Jiayuguan,CN,2021-05-25 20:56:11,39.8167,98.3,56.44,21,70,2.19,broken clouds
165,Beloha,MG,2021-05-25 20:56:11,-25.1667,45.05,62.74,72,10,5.88,clear sky
166,Buala,SB,2021-05-25 20:54:51,-8.145,159.5921,80.73,82,99,11.88,light rain
167,Quelimane,MZ,2021-05-25 20:56:12,-17.8786,36.8883,67.95,93,0,5.01,clear sky
168,Severo-Kurilsk,RU,2021-05-25 20:56:12,50.6789,156.125,37.42,97,100,13.91,light rain
169,Mount Isa,AU,2021-05-25 20:56:12,-20.7333,139.5,67.77,52,99,8.05,overcast clouds
170,Nikolskoye,RU,2021-05-25 20:53:12,59.7035,30.7861,48.09,76,100,5.79,overcast clouds
171,Kuching,MY,2021-05-25 20:51:32,1.55,110.3333,77.22,94,20,0.0,few clouds
172,Arraial Do Cabo,BR,2021-05-25 20:54:16,-22.9661,-42.0278,71.46,60,0,3.44,clear sky
173,Hobyo,SO,2021-05-25 20:56:13,5.3505,48.5268,78.58,80,48,23.89,scattered clouds
174,Camacha,PT,2021-05-25 20:56:13,33.0833,-16.3333,62.02,63,75,17.27,broken clouds
175,Butaritari,KI,2021-05-25 20:56:14,3.0707,172.7902,81.57,80,100,16.55,moderate rain
176,Ilulissat,GL,2021-05-25 20:56:14,69.2167,-51.1,33.44,79,15,5.17,few clouds
